sampno,sequence,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner,age_nrel_agebin
5192,1,,2,6,-1,8,1,0,1,1,1,-1,15,150,5,2,4,-1,-1,0,3
5192,2,,1,4,-1,5,1,0,1,1,1,-1,17,170,5,2,4,-1,-1,0,3
5195,1,,1,6,-1,7,2,7,2,1,3,-1,7,0,3,3,4,-1,-1,0,7
5195,2,,2,6,-1,8,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5196,1,,1,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5196,2,,2,6,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5197,1,,2,6,-1,6,1,5,1,1,1,-1,50,200,5,2,4,-1,-1,0,3
5197,2,,1,6,-1,6,1,4,1,1,1,-1,30,150,5,2,4,-1,-1,0,3
5199,1,,1,4,-1,7,1,12,4,-1,-1,-1,-1,-1,-1,-1,1,1,10,0,3
5199,2,,2,6,-1,2,2,4,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5199,3,,2,4,-1,1,2,10,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5202,1,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5202,2,,2,6,-1,4,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
5204,1,,1,6,-1,7,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
5205,1,,1,6,-1,6,1,1,1,1,1,-1,10,130,5,1,4,-1,-1,0,3
5205,2,,2,6,-1,6,2,2,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5206,1,,2,1,-1,5,1,0,1,1,1,-1,12,70,5,2,4,-1,-1,0,5
5206,2,,1,6,-1,2,1,10,1,1,1,-1,12,70,7,2,4,-1,-1,0,5
5208,1,,2,4,-1,2,1,0,2,1,1,-1,8,80,5,2,4,-1,-1,0,3
5208,2,,1,7,French/Algerian,2,1,0,1,1,1,-1,15,75,5,2,4,-1,-1,0,2
5211,1,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5211,2,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5212,1,,2,6,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
5212,2,,1,6,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5212,3,,2,6,-1,2,1,0,2,1,1,-1,5,40,4,2,4,-1,-1,0,6
5213,1,,2,2,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5213,2,,1,6,-1,4,1,0,1,1,1,-1,20,160,4,2,4,-1,-1,0,4
5213,3,,1,7,half white/half asian,1,3,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5215,1,,2,2,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5215,2,,1,2,-1,1,1,0,1,1,1,-1,25,125,5,2,4,-1,-1,0,4
5216,1,,2,4,-1,6,1,0,2,1,1,-1,25,200,4,2,1,1,35,0,2
5216,2,,1,6,-1,6,1,0,1,1,1,-1,45,350,4,2,4,-1,-1,0,2
5217,1,,1,4,-1,6,1,2,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5217,2,,2,6,-1,6,2,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5226,1,,2,6,-1,6,1,0,2,1,1,-1,17,34,4,2,4,-1,-1,0,3
5226,2,,1,6,-1,4,1,0,1,1,1,-1,17,34,5,2,4,-1,-1,0,4
5227,1,,2,3,-1,5,1,30,1,1,1,-1,8,45,5,2,4,-1,-1,0,5
5227,2,,1,1,-1,3,1,3,1,1,7,-1,5,40,5,1,4,-1,-1,0,2
5227,3,,2,3,-1,5,1,2,1,1,1,-1,8,48,6,2,4,-1,-1,0,6
5229,1,,1,2,-1,8,1,0,1,1,1,-1,30,150,5,2,4,-1,-1,0,6
5229,2,,2,2,-1,8,1,0,1,1,1,-1,35,350,5,2,4,-1,-1,0,7
5229,3,,2,2,-1,6,1,0,2,1,1,-1,25,130,5,2,4,-1,-1,0,2
