sampno,sequence,choice,alt1_fuel,alt1_veh,alt1_year,a1_incentive,a1_fuelavail,a1_fuelavail_loc,alt1_range,alt1_veh_model,alt1_annmain,alt1_cpmile,alt1_mpge,alt1_accel,alt1_refueltime,alt1_trunk,alt1_price,alt2_fuel,alt2_veh,alt2_year,a2_incentive,a2_fuelavail,a2_fuelavail_loc,alt2_range,alt2_veh_model,alt2_annmain,alt2_cpmile,alt2_mpge,alt2_accel,alt2_refueltime,alt2_trunk,alt2_price,alt3_fuel,alt3_veh,alt3_year,a3_incentive,a3_fuelavail,a3_fuelavail_loc,alt3_range,alt3_veh_model,alt3_annmain,alt3_cpmile,alt3_mpge,alt3_accel,alt3_refueltime,alt3_trunk,alt3_price,alt4_fuel,alt4_veh,alt4_year,a4_incentive,a4_fuelavail,a4_fuelavail_loc,alt4_range,alt4_veh_model,alt4_annmain,alt4_cpmile,alt4_mpge,alt4_accel,alt4_refueltime,alt4_trunk,alt4_price
133,4,1,1,8,2016,0,3,1,359,65,405.0,9.19,19.0,5.3,2,40.0,37200,5,7,2016,0,7,1,378,1,360.0,10.81,21.0,5.8,3,27.0,48000,3,8,2016,1,0,3,775,1,338.0,19.41,41.0,8.9,6,29.0,59900,1,9,2014,0,5,1,451,4,364.0,9.19,19.0,5.3,2,22.0,30300
133,5,1,1,8,2016,0,3,1,491,65,405.0,16.79,26.0,5.3,2,40.0,32000,3,2,2016,9,0,2,585,4,531.0,11.94,50.0,6.1,5,13.0,39300,1,12,2014,0,3,1,528,6,387.0,18.19,24.0,5.9,1,43.0,20900,9,8,2016,4,0,2,80,2,446.0,11.03,76.0,8.9,10,27.0,84000
133,6,1,1,8,2016,0,5,1,325,45,495.0,9.19,19.0,5.3,4,31.0,48000,1,6,2016,0,3,1,528,35,319.0,5.82,30.0,6.5,3,15.0,26100,9,11,2016,9,0,2,80,1,606.0,7.29,46.0,9.0,9,9.0,63300,5,8,2016,0,3,1,396,3,563.0,11.35,20.0,9.3,4,30.0,57600
133,7,1,1,8,2016,0,10,1,445,65,495.0,22.38,26.0,5.3,3,38.0,32000,2,4,2013,0,7,1,775,2,550.0,14.2,41.0,9.7,1,16.0,31000,1,12,2016,0,3,1,441,10,538.0,27.71,21.0,9.9,2,33.0,32400,9,8,2016,3,0,3,80,4,365.0,7.36,76.0,8.9,12,28.0,84000
133,8,2,1,8,2016,0,3,1,259,45,495.0,27.28,16.0,5.3,1,38.0,37200,1,8,2016,0,3,1,445,65,338.0,16.79,26.0,5.3,3,31.0,32000,10,7,2016,1,10,1,250,1,600.0,23.89,63.0,5.4,14,17.0,69600,5,13,2016,0,3,1,618,2,700.0,17.94,26.0,12.7,4,99.0,37700
134,1,4,1,11,2012,0,5,1,578,15,486.0,7.94,22.0,9.4,2,17.0,30000,5,2,2014,0,3,1,519,8,383.0,5.41,42.0,10.5,2,18.0,23100,3,7,2012,0,10,1,828,4,528.0,5.19,46.0,5.4,8,20.0,31600,1,11,2014,0,5,1,440,18,594.0,10.91,16.0,9.4,1,16.0,26700
134,2,1,1,11,2012,0,3,1,499,20,594.0,30.63,19.0,5.4,2,16.0,30000,1,1,2009,0,7,1,257,116,468.0,22.38,26.0,11.5,2,14.0,7800,6,11,2016,0,3,1,563,1,386.0,16.3,25.0,6.1,3,14.0,68100,4,13,2010,0,7,1,420,11,616.0,13.31,16.0,8.7,1,99.0,17200
134,3,1,1,11,2012,0,5,1,605,15,486.0,19.84,22.0,9.4,3,16.0,26800,5,11,2012,0,3,1,468,1,486.0,18.29,17.0,5.4,1,17.0,36000,2,5,2012,0,3,1,583,4,506.0,11.8,37.0,8.1,3,9.0,29800,1,10,2014,0,7,1,494,10,353.0,16.79,26.0,5.9,2,13.0,23600
134,4,1,1,11,2012,0,3,1,380,24,405.0,36.38,16.0,5.4,4,14.0,30000,1,9,2015,0,3,1,385,3,534.0,41.57,14.0,5.3,2,16.0,43600,9,11,2012,0,15,1,100,1,364.0,6.45,52.0,9.0,10,12.0,35000,7,6,2015,0,10,1,200,4,319.0,13.05,22.0,10.5,14,11.0,36600
134,5,1,1,11,2012,0,5,1,523,20,675.0,7.94,22.0,9.4,2,16.0,26800,3,9,2012,0,0,3,450,1,437.0,11.94,20.0,4.9,6,12.0,42600,1,5,2010,0,3,1,441,92,888.0,6.24,28.0,3.5,1,13.0,22400,2,11,2012,0,3,1,689,4,464.0,6.02,29.0,6.1,3,11.0,33500
134,6,1,1,11,2012,0,5,1,440,15,486.0,18.19,16.0,5.4,1,14.0,23300,3,12,2012,0,15,1,612,1,538.0,23.41,34.0,5.5,8,32.0,34200,1,11,2015,0,5,1,450,18,405.0,14.55,20.0,5.4,1,14.0,44800,9,10,2012,0,15,1,80,2,531.0,11.41,49.0,5.5,10,12.0,27500
134,7,1,1,11,2012,0,5,1,420,24,486.0,18.19,16.0,9.4,4,16.0,26800,6,5,2016,0,3,1,570,2,844.0,9.46,40.0,4.1,4,11.0,92900,4,7,2014,0,7,1,380,4,432.0,10.65,20.0,9.8,4,21.0,30700,2,11,2016,0,5,1,495,5,386.0,16.17,18.0,10.1,4,11.0,51000
